,jurisdiction_of_occurrence,mmwryear,mmwrweek,week_ending_date,all_cause,natural_cause,septicemia_a40_a41,malignant_neoplasms_c00_c97,diabetes_mellitus_e10_e14,alzheimer_disease_g30,influenza_and_pneumonia_j09_j18,chronic_lower_respiratory,other_diseases_of_respiratory,nephritis_nephrotic_syndrome,symptoms_signs_and_abnormal,diseases_of_heart_i00_i09,cerebrovascular_diseases,covid_19_u071_multiple_cause_of_death,covid_19_u071_underlying_cause_of_death,flag_otherresp,flag_otherunk,flag_nephr,flag_inflpn,flag_cov19mcod,flag_cov19ucod,flag_sept,flag_diab,flag_alz,flag_clrd,flag_stroke,flag_hd,flag_neopl,flag_allcause,flag_natcause
933,Hawaii,2020,24,6/13/2020,196.0,188.0,,36.0,,,,,,,23.0,38.0,14.0,0.0,0.0,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
934,Hawaii,2020,25,6/20/2020,212.0,207.0,0.0,39.0,,10.0,,,,,43.0,30.0,15.0,0.0,0.0,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
935,Hawaii,2020,26,6/27/2020,176.0,174.0,0.0,30.0,,12.0,,,,,42.0,35.0,,0.0,0.0,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
936,Idaho,2019,1,1/5/2019,271.0,247.0,,48.0,11.0,,,20.0,,,,63.0,11.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
937,Idaho,2019,2,1/12/2019,295.0,264.0,,55.0,,10.0,,27.0,,,,66.0,14.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
938,Idaho,2019,3,1/19/2019,232.0,214.0,,51.0,10.0,,,12.0,,,,54.0,12.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
939,Idaho,2019,4,1/26/2019,274.0,253.0,,45.0,,12.0,,18.0,,,,66.0,14.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
940,Idaho,2019,5,2/2/2019,272.0,253.0,,67.0,,16.0,,27.0,,,,48.0,16.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
941,Idaho,2019,6,2/9/2019,280.0,253.0,,58.0,10.0,,10.0,23.0,,,,61.0,17.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
942,Idaho,2019,7,2/16/2019,350.0,324.0,,70.0,12.0,13.0,13.0,33.0,,,,82.0,24.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
943,Idaho,2019,8,2/23/2019,304.0,278.0,,59.0,,12.0,,30.0,10.0,,,61.0,14.0,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
944,Idaho,2019,9,3/2/2019,312.0,287.0,,63.0,12.0,12.0,10.0,27.0,,,,67.0,16.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
945,Idaho,2019,10,3/9/2019,306.0,283.0,,50.0,,21.0,,17.0,,,,63.0,16.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
946,Idaho,2019,11,3/16/2019,289.0,265.0,,64.0,,15.0,,19.0,,,,56.0,14.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
947,Idaho,2019,12,3/23/2019,274.0,257.0,,57.0,11.0,19.0,,22.0,,,,58.0,11.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
948,Idaho,2019,13,3/30/2019,262.0,240.0,,49.0,,11.0,11.0,22.0,,,,50.0,12.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
949,Idaho,2019,14,4/6/2019,295.0,266.0,,48.0,,19.0,,21.0,,0.0,,68.0,14.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
950,Idaho,2019,15,4/13/2019,292.0,257.0,,56.0,,13.0,,25.0,,,,51.0,22.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
951,Idaho,2019,16,4/20/2019,305.0,287.0,,57.0,13.0,11.0,,23.0,,,,72.0,13.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
952,Idaho,2019,17,4/27/2019,262.0,243.0,,43.0,12.0,13.0,,20.0,,,,65.0,12.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
953,Idaho,2019,18,5/4/2019,253.0,223.0,,61.0,,,,12.0,,,,43.0,17.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
