,jurisdiction_of_occurrence,mmwryear,mmwrweek,week_ending_date,all_cause,natural_cause,septicemia_a40_a41,malignant_neoplasms_c00_c97,diabetes_mellitus_e10_e14,alzheimer_disease_g30,influenza_and_pneumonia_j09_j18,chronic_lower_respiratory,other_diseases_of_respiratory,nephritis_nephrotic_syndrome,symptoms_signs_and_abnormal,diseases_of_heart_i00_i09,cerebrovascular_diseases,covid_19_u071_multiple_cause_of_death,covid_19_u071_underlying_cause_of_death,flag_otherresp,flag_otherunk,flag_nephr,flag_inflpn,flag_cov19mcod,flag_cov19ucod,flag_sept,flag_diab,flag_alz,flag_clrd,flag_stroke,flag_hd,flag_neopl,flag_allcause,flag_natcause
0,Alabama,2019,1,1/5/2019,1076.0,992.0,30.0,198.0,22.0,60.0,21.0,63.0,14.0,21.0,27.0,260.0,53.0,0.0,0.0,,,,,,,,,,,,,,,
1,Alabama,2019,2,1/12/2019,1090.0,994.0,25.0,187.0,24.0,49.0,18.0,85.0,21.0,13.0,11.0,275.0,65.0,0.0,0.0,,,,,,,,,,,,,,,
2,Alabama,2019,3,1/19/2019,1114.0,1042.0,22.0,238.0,18.0,48.0,31.0,80.0,30.0,25.0,15.0,283.0,53.0,0.0,0.0,,,,,,,,,,,,,,,
3,Alabama,2019,4,1/26/2019,1063.0,994.0,21.0,165.0,22.0,50.0,22.0,113.0,14.0,25.0,23.0,279.0,56.0,0.0,0.0,,,,,,,,,,,,,,,
4,Alabama,2019,5,2/2/2019,1095.0,1025.0,18.0,199.0,19.0,52.0,19.0,80.0,20.0,24.0,21.0,290.0,49.0,0.0,0.0,,,,,,,,,,,,,,,
5,Alabama,2019,6,2/9/2019,1092.0,1005.0,18.0,182.0,25.0,56.0,28.0,76.0,27.0,22.0,28.0,278.0,59.0,0.0,0.0,,,,,,,,,,,,,,,
6,Alabama,2019,7,2/16/2019,1103.0,1017.0,27.0,214.0,25.0,51.0,27.0,78.0,17.0,22.0,20.0,262.0,56.0,0.0,0.0,,,,,,,,,,,,,,,
7,Alabama,2019,8,2/23/2019,1064.0,992.0,16.0,183.0,22.0,52.0,17.0,70.0,23.0,26.0,20.0,273.0,52.0,0.0,0.0,,,,,,,,,,,,,,,
8,Alabama,2019,9,3/2/2019,1050.0,966.0,25.0,164.0,30.0,52.0,28.0,65.0,11.0,23.0,15.0,283.0,56.0,0.0,0.0,,,,,,,,,,,,,,,
9,Alabama,2019,10,3/9/2019,1062.0,964.0,18.0,189.0,27.0,50.0,19.0,81.0,12.0,19.0,17.0,260.0,63.0,0.0,0.0,,,,,,,,,,,,,,,
10,Alabama,2019,11,3/16/2019,1090.0,1015.0,21.0,216.0,24.0,60.0,26.0,71.0,22.0,25.0,22.0,278.0,57.0,0.0,0.0,,,,,,,,,,,,,,,
11,Alabama,2019,12,3/23/2019,1012.0,938.0,21.0,176.0,23.0,48.0,22.0,70.0,15.0,24.0,22.0,259.0,62.0,0.0,0.0,,,,,,,,,,,,,,,
12,Alabama,2019,13,3/30/2019,1079.0,999.0,23.0,202.0,20.0,52.0,20.0,59.0,12.0,15.0,22.0,281.0,67.0,0.0,0.0,,,,,,,,,,,,,,,
13,Alabama,2019,14,4/6/2019,1044.0,960.0,12.0,202.0,20.0,43.0,18.0,77.0,22.0,15.0,22.0,248.0,64.0,0.0,0.0,,,,,,,,,,,,,,,
14,Alabama,2019,15,4/13/2019,1031.0,932.0,22.0,174.0,29.0,46.0,21.0,74.0,16.0,15.0,26.0,267.0,51.0,0.0,0.0,,,,,,,,,,,,,,,
15,Alabama,2019,16,4/20/2019,954.0,896.0,21.0,163.0,24.0,50.0,19.0,62.0,16.0,20.0,18.0,256.0,59.0,0.0,0.0,,,,,,,,,,,,,,,
16,Alabama,2019,17,4/27/2019,1042.0,982.0,21.0,215.0,28.0,39.0,19.0,77.0,20.0,23.0,18.0,259.0,59.0,0.0,0.0,,,,,,,,,,,,,,,
17,Alabama,2019,18,5/4/2019,1031.0,942.0,14.0,204.0,20.0,47.0,21.0,60.0,16.0,16.0,16.0,257.0,54.0,0.0,0.0,,,,,,,,,,,,,,,
18,Alabama,2019,19,5/11/2019,1009.0,920.0,15.0,217.0,21.0,48.0,18.0,67.0,12.0,19.0,21.0,240.0,55.0,0.0,0.0,,,,,,,,,,,,,,,
19,Alabama,2019,20,5/18/2019,996.0,907.0,17.0,191.0,20.0,51.0,19.0,54.0,22.0,12.0,21.0,250.0,54.0,0.0,0.0,,,,,,,,,,,,,,,
20,Alabama,2019,21,5/25/2019,974.0,917.0,14.0,193.0,27.0,45.0,21.0,79.0,,18.0,20.0,266.0,64.0,0.0,0.0,Suppressed (counts 1-9),,,,,,,,,,,,,,
21,Alabama,2019,22,6/1/2019,1027.0,928.0,21.0,194.0,17.0,56.0,18.0,76.0,,18.0,18.0,255.0,64.0,0.0,0.0,Suppressed (counts 1-9),,,,,,,,,,,,,,
22,Alabama,2019,23,6/8/2019,1029.0,924.0,15.0,222.0,17.0,55.0,11.0,62.0,17.0,16.0,21.0,246.0,57.0,0.0,0.0,,,,,,,,,,,,,,,
23,Alabama,2019,24,6/15/2019,986.0,896.0,23.0,180.0,25.0,43.0,23.0,64.0,17.0,16.0,13.0,238.0,57.0,0.0,0.0,,,,,,,,,,,,,,,
24,Alabama,2019,25,6/22/2019,989.0,904.0,19.0,190.0,20.0,45.0,20.0,52.0,18.0,23.0,14.0,244.0,61.0,0.0,0.0,,,,,,,,,,,,,,,
25,Alabama,2019,26,6/29/2019,940.0,873.0,31.0,185.0,23.0,49.0,17.0,71.0,18.0,13.0,,240.0,44.0,0.0,0.0,,Suppressed (counts 1-9),,,,,,,,,,,,,
26,Alabama,2019,27,7/6/2019,1028.0,926.0,22.0,182.0,22.0,48.0,10.0,53.0,15.0,21.0,21.0,277.0,60.0,0.0,0.0,,,,,,,,,,,,,,,
27,Alabama,2019,28,7/13/2019,1017.0,944.0,19.0,215.0,28.0,58.0,11.0,49.0,17.0,19.0,14.0,255.0,52.0,0.0,0.0,,,,,,,,,,,,,,,
28,Alabama,2019,29,7/20/2019,962.0,871.0,19.0,195.0,29.0,40.0,15.0,68.0,21.0,15.0,15.0,240.0,49.0,0.0,0.0,,,,,,,,,,,,,,,
29,Alabama,2019,30,7/27/2019,980.0,895.0,19.0,186.0,21.0,49.0,12.0,45.0,18.0,22.0,18.0,259.0,60.0,0.0,0.0,,,,,,,,,,,,,,,
30,Alabama,2019,31,8/3/2019,984.0,907.0,12.0,184.0,18.0,67.0,19.0,48.0,13.0,19.0,27.0,262.0,60.0,0.0,0.0,,,,,,,,,,,,,,,
31,Alabama,2019,32,8/10/2019,997.0,923.0,17.0,196.0,27.0,48.0,12.0,59.0,14.0,16.0,25.0,251.0,63.0,0.0,0.0,,,,,,,,,,,,,,,
32,Alabama,2019,33,8/17/2019,977.0,903.0,21.0,188.0,31.0,42.0,15.0,57.0,14.0,18.0,18.0,245.0,54.0,0.0,0.0,,,,,,,,,,,,,,,
33,Alabama,2019,34,8/24/2019,939.0,869.0,17.0,189.0,16.0,52.0,19.0,62.0,14.0,,19.0,245.0,53.0,0.0,0.0,,,Suppressed (counts 1-9),,,,,,,,,,,,
34,Alabama,2019,35,8/31/2019,974.0,893.0,18.0,191.0,20.0,56.0,18.0,69.0,15.0,10.0,20.0,211.0,56.0,0.0,0.0,,,,,,,,,,,,,,,
35,Alabama,2019,36,9/7/2019,1009.0,924.0,13.0,188.0,17.0,46.0,16.0,78.0,23.0,21.0,12.0,249.0,52.0,0.0,0.0,,,,,,,,,,,,,,,
36,Alabama,2019,37,9/14/2019,1000.0,926.0,21.0,201.0,22.0,35.0,21.0,59.0,21.0,11.0,21.0,229.0,69.0,0.0,0.0,,,,,,,,,,,,,,,
37,Alabama,2019,38,9/21/2019,883.0,801.0,19.0,173.0,25.0,53.0,13.0,50.0,14.0,23.0,19.0,213.0,41.0,0.0,0.0,,,,,,,,,,,,,,,
38,Alabama,2019,39,9/28/2019,987.0,905.0,22.0,194.0,13.0,38.0,19.0,57.0,12.0,18.0,16.0,244.0,61.0,0.0,0.0,,,,,,,,,,,,,,,
39,Alabama,2019,40,10/5/2019,958.0,870.0,14.0,189.0,16.0,45.0,10.0,67.0,14.0,25.0,17.0,232.0,59.0,0.0,0.0,,,,,,,,,,,,,,,
40,Alabama,2019,41,10/12/2019,907.0,829.0,16.0,187.0,21.0,44.0,,46.0,28.0,12.0,15.0,209.0,54.0,0.0,0.0,,,,Suppressed (counts 1-9),,,,,,,,,,,
41,Alabama,2019,42,10/19/2019,1009.0,934.0,21.0,192.0,20.0,49.0,16.0,65.0,28.0,18.0,17.0,238.0,86.0,0.0,0.0,,,,,,,,,,,,,,,
42,Alabama,2019,43,10/26/2019,978.0,883.0,21.0,191.0,18.0,42.0,18.0,54.0,16.0,16.0,16.0,270.0,63.0,0.0,0.0,,,,,,,,,,,,,,,
43,Alabama,2019,44,11/2/2019,937.0,859.0,16.0,198.0,17.0,51.0,18.0,53.0,10.0,20.0,17.0,213.0,54.0,0.0,0.0,,,,,,,,,,,,,,,
44,Alabama,2019,45,11/9/2019,1041.0,964.0,16.0,202.0,22.0,54.0,10.0,73.0,17.0,15.0,27.0,280.0,64.0,0.0,0.0,,,,,,,,,,,,,,,
45,Alabama,2019,46,11/16/2019,1070.0,1000.0,20.0,182.0,29.0,61.0,22.0,71.0,12.0,27.0,22.0,303.0,52.0,0.0,0.0,,,,,,,,,,,,,,,
46,Alabama,2019,47,11/23/2019,1042.0,976.0,22.0,194.0,29.0,46.0,19.0,62.0,19.0,16.0,17.0,251.0,65.0,0.0,0.0,,,,,,,,,,,,,,,
47,Alabama,2019,48,11/30/2019,1038.0,949.0,20.0,188.0,23.0,50.0,27.0,59.0,22.0,22.0,19.0,241.0,61.0,0.0,0.0,,,,,,,,,,,,,,,
48,Alabama,2019,49,12/7/2019,1072.0,997.0,29.0,180.0,28.0,62.0,20.0,76.0,18.0,22.0,13.0,266.0,60.0,0.0,0.0,,,,,,,,,,,,,,,
49,Alabama,2019,50,12/14/2019,1081.0,997.0,19.0,202.0,26.0,52.0,25.0,76.0,20.0,25.0,18.0,252.0,66.0,0.0,0.0,,,,,,,,,,,,,,,
50,Alabama,2019,51,12/21/2019,1103.0,1018.0,22.0,204.0,33.0,70.0,19.0,81.0,24.0,20.0,23.0,252.0,68.0,0.0,0.0,,,,,,,,,,,,,,,
51,Alabama,2019,52,12/28/2019,1034.0,948.0,17.0,194.0,33.0,53.0,15.0,55.0,22.0,21.0,20.0,256.0,49.0,0.0,0.0,,,,,,,,,,,,,,,
52,Alabama,2020,1,1/4/2020,1076.0,1003.0,15.0,196.0,25.0,54.0,28.0,85.0,13.0,25.0,25.0,266.0,81.0,0.0,0.0,,,,,,,,,,,,,,,
53,Alabama,2020,2,1/11/2020,1123.0,1058.0,25.0,197.0,17.0,41.0,27.0,72.0,20.0,23.0,34.0,273.0,68.0,0.0,0.0,,,,,,,,,,,,,,,
54,Alabama,2020,3,1/18/2020,1036.0,976.0,28.0,201.0,23.0,53.0,31.0,73.0,21.0,23.0,26.0,238.0,45.0,0.0,0.0,,,,,,,,,,,,,,,
55,Alabama,2020,4,1/25/2020,1050.0,980.0,15.0,189.0,23.0,54.0,29.0,61.0,11.0,14.0,27.0,283.0,70.0,0.0,0.0,,,,,,,,,,,,,,,
56,Alabama,2020,5,2/1/2020,1021.0,948.0,15.0,156.0,16.0,58.0,31.0,76.0,17.0,20.0,24.0,265.0,55.0,0.0,0.0,,,,,,,,,,,,,,,
57,Alabama,2020,6,2/8/2020,1112.0,1023.0,27.0,191.0,24.0,45.0,28.0,70.0,20.0,24.0,31.0,299.0,52.0,0.0,0.0,,,,,,,,,,,,,,,
58,Alabama,2020,7,2/15/2020,1086.0,1013.0,17.0,193.0,24.0,50.0,35.0,73.0,23.0,17.0,27.0,252.0,81.0,0.0,0.0,,,,,,,,,,,,,,,
59,Alabama,2020,8,2/22/2020,1091.0,1014.0,17.0,221.0,27.0,47.0,25.0,65.0,12.0,12.0,20.0,282.0,73.0,0.0,0.0,,,,,,,,,,,,,,,
60,Alabama,2020,9,2/29/2020,1155.0,1090.0,21.0,211.0,27.0,62.0,31.0,87.0,20.0,21.0,28.0,293.0,60.0,0.0,0.0,,,,,,,,,,,,,,,
61,Alabama,2020,10,3/7/2020,1050.0,957.0,18.0,144.0,23.0,65.0,34.0,60.0,24.0,23.0,32.0,263.0,57.0,0.0,0.0,,,,,,,,,,,,,,,
62,Alabama,2020,11,3/14/2020,1079.0,1007.0,16.0,199.0,29.0,65.0,30.0,75.0,28.0,27.0,28.0,260.0,67.0,0.0,0.0,,,,,,,,,,,,,,,
63,Alabama,2020,12,3/21/2020,1046.0,980.0,17.0,226.0,24.0,46.0,26.0,67.0,24.0,22.0,22.0,257.0,71.0,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,
64,Alabama,2020,13,3/28/2020,1054.0,985.0,14.0,185.0,21.0,66.0,25.0,75.0,23.0,15.0,36.0,239.0,67.0,23.0,21.0,,,,,,,,,,,,,,,
65,Alabama,2020,14,4/4/2020,1136.0,1068.0,27.0,199.0,34.0,72.0,23.0,67.0,23.0,22.0,34.0,253.0,65.0,49.0,45.0,,,,,,,,,,,,,,,
66,Alabama,2020,15,4/11/2020,1119.0,1044.0,25.0,165.0,30.0,63.0,17.0,62.0,19.0,17.0,32.0,262.0,64.0,81.0,77.0,,,,,,,,,,,,,,,
67,Alabama,2020,16,4/18/2020,1121.0,1041.0,20.0,180.0,31.0,62.0,18.0,69.0,22.0,17.0,32.0,244.0,62.0,89.0,81.0,,,,,,,,,,,,,,,
68,Alabama,2020,17,4/25/2020,1114.0,1035.0,20.0,198.0,26.0,54.0,24.0,52.0,13.0,17.0,35.0,255.0,63.0,83.0,75.0,,,,,,,,,,,,,,,
69,Alabama,2020,18,5/2/2020,1114.0,1042.0,17.0,196.0,22.0,57.0,26.0,67.0,19.0,23.0,24.0,260.0,62.0,78.0,72.0,,,,,,,,,,,,,,,
70,Alabama,2020,19,5/9/2020,1137.0,1070.0,18.0,197.0,26.0,43.0,12.0,59.0,19.0,14.0,39.0,296.0,51.0,109.0,98.0,,,,,,,,,,,,,,,
71,Alabama,2020,20,5/16/2020,1090.0,1022.0,19.0,197.0,24.0,44.0,14.0,67.0,17.0,22.0,39.0,250.0,47.0,87.0,81.0,,,,,,,,,,,,,,,
72,Alabama,2020,21,5/23/2020,1100.0,1021.0,22.0,189.0,21.0,63.0,18.0,50.0,16.0,21.0,34.0,262.0,51.0,74.0,71.0,,,,,,,,,,,,,,,
73,Alabama,2020,22,5/30/2020,1002.0,925.0,20.0,151.0,26.0,52.0,20.0,50.0,12.0,11.0,33.0,219.0,45.0,95.0,91.0,,,,,,,,,,,,,,,
74,Alabama,2020,23,6/6/2020,1003.0,944.0,24.0,188.0,14.0,45.0,15.0,54.0,17.0,14.0,35.0,246.0,51.0,74.0,68.0,,,,,,,,,,,,,,,
75,Alabama,2020,24,6/13/2020,882.0,824.0,12.0,140.0,14.0,44.0,10.0,53.0,10.0,20.0,20.0,229.0,49.0,57.0,50.0,,,,,,,,,,,,,,,
76,Alabama,2020,25,6/20/2020,544.0,521.0,17.0,117.0,11.0,31.0,,31.0,,,22.0,120.0,22.0,32.0,29.0,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,
77,Alabama,2020,26,6/27/2020,141.0,137.0,,38.0,,,,,,,,33.0,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
78,Alaska,2019,1,1/5/2019,93.0,82.0,,19.0,,,0.0,,,,0.0,22.0,,0.0,0.0,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
79,Alaska,2019,2,1/12/2019,87.0,72.0,,14.0,,,,,,0.0,,13.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
80,Alaska,2019,3,1/19/2019,94.0,78.0,,16.0,,,,,,0.0,,18.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
81,Alaska,2019,4,1/26/2019,88.0,75.0,0.0,27.0,,,0.0,,0.0,0.0,0.0,17.0,,0.0,0.0,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
82,Alaska,2019,5,2/2/2019,99.0,73.0,,21.0,,,,,,0.0,,15.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
83,Alaska,2019,6,2/9/2019,96.0,88.0,,30.0,,,,,0.0,,,13.0,,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
84,Alaska,2019,7,2/16/2019,99.0,80.0,0.0,17.0,,,,,,,,18.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
85,Alaska,2019,8,2/23/2019,76.0,61.0,,19.0,,,,,0.0,,0.0,12.0,,0.0,0.0,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
86,Alaska,2019,9,3/2/2019,94.0,77.0,,20.0,,0.0,,,,0.0,,18.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
87,Alaska,2019,10,3/9/2019,94.0,78.0,,25.0,,,,10.0,,,0.0,12.0,,0.0,0.0,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
88,Alaska,2019,11,3/16/2019,100.0,81.0,,20.0,,,,,,0.0,,17.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
89,Alaska,2019,12,3/23/2019,71.0,63.0,,14.0,,,,,,,,10.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
90,Alaska,2019,13,3/30/2019,90.0,71.0,,24.0,,,,,,,0.0,15.0,,0.0,0.0,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
91,Alaska,2019,14,4/6/2019,90.0,61.0,0.0,15.0,,,0.0,,,,0.0,14.0,,0.0,0.0,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
92,Alaska,2019,15,4/13/2019,81.0,72.0,,13.0,,,0.0,,0.0,,,13.0,,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
93,Alaska,2019,16,4/20/2019,78.0,64.0,0.0,18.0,,,,,0.0,,0.0,13.0,,0.0,0.0,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
94,Alaska,2019,17,4/27/2019,79.0,67.0,,15.0,,,,,0.0,,,,,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,
95,Alaska,2019,18,5/4/2019,100.0,82.0,,20.0,,,0.0,,0.0,,,14.0,,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
96,Alaska,2019,19,5/11/2019,86.0,73.0,0.0,26.0,,,0.0,,,0.0,,14.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
97,Alaska,2019,20,5/18/2019,91.0,73.0,0.0,17.0,,,0.0,,0.0,,0.0,23.0,,0.0,0.0,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
98,Alaska,2019,21,5/25/2019,82.0,63.0,,24.0,,,,,0.0,,,,,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,
99,Alaska,2019,22,6/1/2019,77.0,64.0,0.0,14.0,,,,,0.0,0.0,0.0,17.0,,0.0,0.0,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
100,Alaska,2019,23,6/8/2019,93.0,70.0,,18.0,,,0.0,,,,,12.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
101,Alaska,2019,24,6/15/2019,75.0,63.0,0.0,12.0,,,0.0,,,,,16.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
102,Alaska,2019,25,6/22/2019,97.0,83.0,,27.0,,,0.0,,0.0,,,16.0,,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
103,Alaska,2019,26,6/29/2019,87.0,73.0,,13.0,,,0.0,,0.0,,,25.0,,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
104,Alaska,2019,27,7/6/2019,81.0,71.0,,15.0,,,,,0.0,,,15.0,,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
105,Alaska,2019,28,7/13/2019,91.0,71.0,,13.0,,,,,,0.0,0.0,21.0,,0.0,0.0,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
106,Alaska,2019,29,7/20/2019,74.0,60.0,,13.0,,,0.0,,0.0,,,16.0,,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
107,Alaska,2019,30,7/27/2019,59.0,46.0,0.0,19.0,0.0,,,0.0,,0.0,0.0,12.0,,0.0,0.0,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
108,Alaska,2019,31,8/3/2019,74.0,58.0,0.0,14.0,,,0.0,,0.0,,0.0,16.0,,0.0,0.0,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
109,Alaska,2019,32,8/10/2019,86.0,71.0,0.0,20.0,0.0,,0.0,,,0.0,,,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,
110,Alaska,2019,33,8/17/2019,94.0,79.0,,25.0,,0.0,0.0,,,0.0,,26.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
111,Alaska,2019,34,8/24/2019,73.0,63.0,,14.0,,,,,,,0.0,16.0,,0.0,0.0,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
112,Alaska,2019,35,8/31/2019,82.0,65.0,0.0,16.0,0.0,,0.0,,,,,15.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
113,Alaska,2019,36,9/7/2019,71.0,63.0,,15.0,,,0.0,,,,0.0,11.0,,0.0,0.0,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
114,Alaska,2019,37,9/14/2019,91.0,72.0,0.0,17.0,,,,,,,0.0,20.0,,0.0,0.0,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
115,Alaska,2019,38,9/21/2019,94.0,81.0,0.0,21.0,,,0.0,,0.0,,0.0,23.0,,0.0,0.0,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
